[0x00005264] | IO                   | INFO  | 2022-08-03 11:34:08,488 | IO codec library load completed in 319 ms.
[0x00007cb4] | SyManager            | ERROR | 2022-08-03 11:34:08,549 | BlackmagicIDHelper::GetProjectLibraries() - Access token is empty
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:08,636 | Finished loading Application style sheet
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:08,670 | Show splash screen
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:08,670 | Show splash screen message: Starting Up
[0x0000525c] | Fusion               | INFO  | 2022-08-03 11:34:08,692 | Module Handle 000002879ADD0000 fusionsystem
[0x00000a70] | Fusion               | INFO  | 2022-08-03 11:34:08,695 | Module Handle 00000287AD270000 C:\Program Files\Blackmagic Design\DaVinci Resolve\fusiongraphics.dll
[0x000079a4] | Fusion               | INFO  | 2022-08-03 11:34:08,717 | Module Handle 00000287AE5D0000 fusionoperators.dll
[0x00005244] | Fusion               | INFO  | 2022-08-03 11:34:08,734 | Module Handle 00000287AEE90000 fusioncontrols.dll
[0x000051e4] | Fusion               | INFO  | 2022-08-03 11:34:08,749 | Module Handle 00000287AF610000 3d.plugin
[0x00000a70] | Fusion               | INFO  | 2022-08-03 11:34:08,758 | Module Handle 00000287B10C0000 dimension.plugin
[0x00000a78] | Fusion               | INFO  | 2022-08-03 11:34:08,766 | Module Handle 00000287B1230000 alembic.plugin
[0x00007978] | Fusion               | INFO  | 2022-08-03 11:34:08,777 | Module Handle 00000287B15E0000 fbx.plugin
[0x000079a4] | Fusion               | INFO  | 2022-08-03 11:34:08,781 | Module Handle 000002879D190000 fuses.plugin
[0x00005244] | Fusion               | INFO  | 2022-08-03 11:34:08,789 | Module Handle 00000287B1D30000 opencolorio.plugin
[0x000077b8] | Fusion               | INFO  | 2022-08-03 11:34:08,794 | Module Handle 000002879D1D0000 openfx.plugin
[0x000051e4] | Fusion               | INFO  | 2022-08-03 11:34:08,802 | Module Handle 00000287B20F0000 openvr.plugin
